#maxfreq, staticgain, fitlevel, absmax
100000,1.5408838635599964,0.5711387820919492,0.0420741123792927
101000,1.5361625852881806,0.5652196944333302,0.04024576588353065
102000,1.5316477740590597,0.5596005837478826,0.038504877472462624
103000,1.5272112744441808,0.5540689813798958,0.03688632997656392
104000,1.522983806789306,0.548812274032298,0.035337317532150546
105000,1.518870711802565,0.5437480708062645,0.03387897869161553
106000,1.5149115436533922,0.5388678290997339,0.03249336264155786
107000,1.5111090350151506,0.5341645045935179,0.031172826741467503
108000,1.5073996718030034,0.529616320190113,0.029929058361166404
109000,1.503856452255372,0.5252990119028557,0.02873404903580179
110000,1.5004017717728035,0.5210719504091612,0.027607145263763108
111000,1.4970180655291299,0.5169571943757625,0.026547374114100433
112000,1.4938235349772306,0.5130525561188957,0.025514974755225312
113000,1.4906109914646208,0.5091382222215481,0.024566832856720053
114000,1.4876042040323298,0.5054924572720121,0.02363248000692917
115000,1.4846121518076667,0.5019043375017505,0.022764434948669504
116000,1.481763147580588,0.49847593581593874,0.02192166482439044
117000,1.4789695027507905,0.4950879201360966,0.021125714816409843
118000,1.4762574376790678,0.49183067669502867,0.020366381215814567
119000,1.4736716322477348,0.48875124571717277,0.019628515287596134
120000,1.471118672900754,0.48570203095904574,0.018934831899561827
121000,1.4686398205496443,0.4827177725252123,0.018270604084379874
122000,1.4662551792168266,0.4798846787439025,0.01762966200739338
123000,1.4638664406030304,0.4770530932187169,0.017035363251625076
124000,1.4615776709543964,0.4743138042825043,0.01645630939826024
125000,1.4593754546016027,0.4717556399377262,0.015898462266104967
126000,1.457273084784768,0.46924620068009226,0.015350665826843374
127000,1.4551160522098268,0.4667011401522998,0.014855049621758673
128000,1.4530508951914456,0.46428351959908487,0.014371786027709752
129000,1.4511242021411883,0.4620192531660874,0.01388649960082569
130000,1.4491542211922221,0.4597197588221378,0.013444740103554802
131000,1.4472394514014737,0.45748000758777085,0.013019067533790856
132000,1.4454354831401028,0.4553577417576719,0.012594198177361701
133000,1.4435897055051137,0.45321061324388395,0.012208379265378572
134000,1.4418727799075683,0.4512112773375976,0.01181756456075045
135000,1.4401669277224354,0.44924828317899523,0.011450911683543575
136000,1.4384827442449408,0.4473071051766067,0.011102686902483694
137000,1.4368485637794617,0.445407196985031,0.010764052708588491
138000,1.4352279884499586,0.4435376912677901,0.010445023763532653
139000,1.4337193419667913,0.44180398991146896,0.010121816350696214
140000,1.432158472341712,0.439997534299136,0.00982887192544203
141000,1.4307395077687763,0.43836381824054893,0.009524069464574635
142000,1.4292625401498857,0.4366768068583513,0.009251443535346637
143000,1.4278573478390917,0.43506112761606974,0.008979207322301057
144000,1.4264751916793734,0.4334781812697125,0.008719122543376654
145000,1.4251099191188927,0.4319030438869827,0.008469842511118139
146000,1.423744739427519,0.43035811030686894,0.008238820778552636
147000,1.4225168792912544,0.42896395228374523,0.00799296736923798
148000,1.4212585277865344,0.42752960181816146,0.0077667628845662804
149000,1.4199306499931292,0.4260296306562724,0.007569465002040071
150000,1.4187425067014776,0.42467500898335375,0.007354756707860131
151000,1.4175905230632568,0.42338131244811,0.007147627042192156
152000,1.4164529760076927,0.4220827572326518,0.006946674420300907
153000,1.415249576762799,0.4207221871262181,0.006771351109267607
154000,1.414136043482455,0.419491576962738,0.006593073609086933
155000,1.4130815210569752,0.4182759992272035,0.006406706628531007
156000,1.4120154773773712,0.4170918134488313,0.00623872297694011
157000,1.410972002698672,0.4159241536373671,0.006074779549712029
158000,1.410000717273568,0.4148227733895866,0.005904431146764891
159000,1.408912076292872,0.4136160543335584,0.005768388749879618
160000,1.4079776152646817,0.4125645347965949,0.005609882425035799
161000,1.406982370673821,0.41145602232627504,0.005472221562688714
162000,1.4060305622722713,0.41037002384772286,0.005330369109602474
163000,1.4051477143442714,0.40939764279207147,0.005189680284151687
164000,1.404223625986363,0.40837700180405234,0.005063195231154824
165000,1.403337530544157,0.4073896241668835,0.004935564779372889
166000,1.4024617727123931,0.4064134413017613,0.004812792125300121
167000,1.4015786263513133,0.4054196425804568,0.004696038200009116
168000,1.4007580066720284,0.40452317348239386,0.0045797329043336
169000,1.3999526532108497,0.4036378232531964,0.004465969533687067
170000,1.3990991264422705,0.4026758759993564,0.004361767349890584
171000,1.3982799602477651,0.4017751826539659,0.004261500254286743
172000,1.397504415841323,0.40091871328976597,0.004158766124906097
173000,1.3966985425704914,0.4000387793570186,0.0040678725303680534
174000,1.3960208754976096,0.3992927279407687,0.003960243316427424
175000,1.3952704837640835,0.39845936096679074,0.0038676284160862042
176000,1.3945612773648337,0.3976787807513371,0.0037746330265130256
177000,1.3938025188110803,0.3968447047954246,0.0036939174450209226
178000,1.393137923591453,0.39611830750793653,0.0036039160840005725
179000,1.392436490022983,0.39534640133326043,0.003522716097240051
180000,1.3917456897011489,0.39459046220004196,0.0034447572589489995
181000,1.3910660515209652,0.3938520434605861,0.003370060479912434
182000,1.390451056774495,0.3931698701814871,0.0032866768952280094
183000,1.3897885155630578,0.3924495982623056,0.0032167397610433244
184000,1.38913914206461,0.3917352358833662,0.0031465923939267585
185000,1.3885430745390526,0.3911024050965189,0.0030771134571917938
186000,1.387937277473402,0.39042839968290244,0.003005902298061212
187000,1.387311345042774,0.38975751715653184,0.002946001757717727
188000,1.3867529150522144,0.3891374768070358,0.0028748984138043648
189000,1.3861321697062106,0.3884656357553101,0.0028188145120565658
190000,1.3855406732463762,0.3878284300421786,0.002762152377043445
191000,1.3850630242325541,0.3873092728900598,0.0026916933105786637
192000,1.3844630278066123,0.3866681313146695,0.002642844790813543
